SP2,SP1,CP1,VX1,UR1,LB1
1530.6199951171875,1530.18994140625,87.2321394667893,13.05,4.4,5.25
1536.3399658203125,1530.6199951171875,87.4342346751499,12.78,4.6,5.25
1539.1800537109375,1536.280029296875,87.4342346751499,13.29,4.6,5.25
1530.949951171875,1539.1199951171875,87.4342346751499,13.63,4.6,5.25
1517.3800048828125,1530.5699462890625,87.4342346751499,14.87,4.6,5.25
1490.719970703125,1517.3599853515625,87.4342346751499,17.06,4.6,5.25
1507.6700439453125,1490.7099609375,87.4342346751499,14.84,4.6,5.25
1509.1199951171875,1507.6400146484375,87.4342346751499,14.71,4.6,5.25
1493.0,1509.1199951171875,87.4342346751499,16.67,4.6,5.25
1515.6700439453125,1492.6500244140625,87.4342346751499,14.73,4.6,5.25
1522.969970703125,1515.5799560546875,87.4342346751499,13.64,4.6,5.25
1532.9100341796875,1522.969970703125,87.4342346751499,13.94,4.6,5.25
1531.050048828125,1532.9000244140625,87.4342346751499,13.42,4.6,5.25
1533.699951171875,1531.02001953125,87.4342346751499,12.85,4.6,5.25
1512.8399658203125,1533.6800537109375,87.4342346751499,14.67,4.6,5.25
1522.18994140625,1512.5,87.4342346751499,14.21,4.6,5.25
1502.56005859375,1522.18994140625,87.4342346751499,15.75,4.6,5.25
1497.739990234375,1502.56005859375,87.4342346751499,16.65,4.6,5.25
1492.8900146484375,1497.6800537109375,87.4342346751499,18.89,4.6,5.25
1506.3399658203125,1492.6199951171875,87.4342346751499,15.53,4.6,5.25
1505.7099609375,1506.3199462890625,87.4342346751499,15.54,4.6,5.25
1503.3499755859375,1505.699951171875,87.4342346751499,16.23,4.6,5.25
1519.4300537109375,1504.6600341796875,87.5899197104005,15.4,4.7,5.26
1524.8699951171875,1519.1199951171875,87.5899197104005,14.92,4.7,5.26
1525.4000244140625,1524.8599853515625,87.5899197104005,15.48,4.7,5.26
1530.43994140625,1524.9599609375,87.5899197104005,14.72,4.7,5.26
1531.8499755859375,1530.4300537109375,87.5899197104005,15.16,4.7,5.26
1510.1199951171875,1531.8499755859375,87.5899197104005,17.57,4.7,5.26
1518.760009765625,1509.9300537109375,87.5899197104005,16.64,4.7,5.26
1547.699951171875,1518.739990234375,87.5899197104005,15.54,4.7,5.26
1552.5,1547.6800537109375,87.5899197104005,15.15,4.7,5.26
1549.52001953125,1552.5,87.5899197104005,15.59,4.7,5.26
1549.3699951171875,1549.52001953125,87.5899197104005,15.63,4.7,5.26
1546.1700439453125,1549.199951171875,87.5899197104005,16.0,4.7,5.26
1553.0799560546875,1546.1300048828125,87.5899197104005,15.23,4.7,5.26
1534.0999755859375,1553.18994140625,87.5899197104005,16.95,4.7,5.26
1541.5699462890625,1534.06005859375,87.5899197104005,16.81,4.7,5.26
1511.0400390625,1541.5699462890625,87.5899197104005,18.55,4.7,5.26
1518.0899658203125,1511.030029296875,87.5899197104005,18.1,4.7,5.26
1482.6600341796875,1518.0899658203125,87.5899197104005,20.74,4.7,5.26
1458.949951171875,1482.43994140625,87.5899197104005,24.17,4.7,5.26
1473.9100341796875,1458.9300537109375,87.5899197104005,20.87,4.7,5.26
1455.27001953125,1473.9000244140625,87.5899197104005,23.52,4.7,5.26
1465.81005859375,1455.1800537109375,87.6169219929372,23.67,4.6,5.02
1472.199951171875,1465.4599609375,87.6169219929372,21.22,4.6,5.02
1433.06005859375,1472.1800537109375,87.6169219929372,25.16,4.6,5.02
1467.6700439453125,1433.0400390625,87.6169219929372,22.94,4.6,5.02
1476.7099609375,1467.6199951171875,87.6169219929372,21.56,4.6,5.02
1497.489990234375,1476.219970703125,87.6169219929372,21.45,4.6,5.02
